system:index,date,runoff_m,sub_surface_runoff_m,surface_runoff_m,.geo
20000101,2000-01-01,2.5239725332322423E-4,2.4347748169679652E-4,8.919638165242978E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,2.55104165448628E-4,2.4028154955035467E-4,1.4822677710632758E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,2.8408430952280895E-4,2.4970227807230344E-4,3.4380909442414286E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,2.525397102822464E-4,2.3637056639214747E-4,1.6168449454859207E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,2.4627929885969255E-4,2.318905140771577E-4,1.4389395030859261E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,2.510285494960269E-4,2.3261953600075565E-4,1.8407958464827405E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,2.717603789817888E-4,2.3516884446106047E-4,3.659015089567584E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,2.607595049349671E-4,2.332850980854371E-4,2.7472345765462896E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,2.6915383798721104E-4,2.307184583218745E-4,3.8432470265585825E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,2.390406107534915E-4,2.2131506869280362E-4,1.7725552502868767E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,2.514892891797278E-4,2.1851475310454853E-4,3.297443312636137E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,2.78413295220273E-4,2.2153443777542326E-4,5.687839662555884E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,2.7786824106729673E-4,2.2175425095529255E-4,5.6113866798008874E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,2.900169257497117E-4,2.2518592412807287E-4,6.482975330195537E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,2.854198526888373E-4,2.2912301747852397E-4,5.6296158516308164E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,2.662840871066898E-4,2.2155151625932666E-4,4.473101974574329E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,2.2990787910271435E-4,2.1101464853023292E-4,1.8891862132077086E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,2.231687803420104E-4,2.0605205674397296E-4,1.711507673750748E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,2.2436845788698098E-4,2.0223183543162577E-4,2.213512130255081E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000120,2000-01-20,2.462669915412482E-4,1.9991337869037617E-4,4.6353630120613194E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000121,2000-01-21,2.309628820967674E-4,1.969834039052793E-4,3.397967963033908E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000122,2000-01-22,2.241956261416269E-4,1.9399903069836977E-4,3.0195087167655487E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000123,2000-01-23,2.2201867506441543E-4,1.9221080995733016E-4,2.9808300543160657E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000124,2000-01-24,2.1507856033096986E-4,1.8874940813536203E-4,2.6327584746584755E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000125,2000-01-25,2.0977119463888976E-4,1.8682361846084875E-4,2.2946038345596613E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000126,2000-01-26,2.0061035418002336E-4,1.8371293492692187E-4,1.689532617630574E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
