system:index,country,country_code,deaths,displaced_people,event_id,gfd_country_name,glide_index,latitude,longitude,main_cause,other_country,primary_country,severity,validation_type,.geo
DFO_1641_From_20000918_to_20001021,"China, India, Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",1468.0,2.4E7,1641.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,24.084064,88.5453,Monsoonal rain,NA,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1747_From_20010708_to_20010810,"India, Bangladesh","['BG', 'IN']",100.0,2000000.0,1747.0,"['BANGLADESH', 'INDIA']",NA,21.055916,84.798732,Monsoonal rain,NA,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1789_From_20010820_to_20010911,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",65.0,300000.0,1789.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,26.755588,83.051328,Heavy rain,NA,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1791_From_20010907_to_20010924,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",146.0,30000.0,1791.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,26.532079,84.869961,Heavy rain,NA,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1974_From_20020621_to_20020828,"China, India, Myanmar (Burma), Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",503.0,1.5E7,1974.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,25.841781,89.269578,Monsoonal rain,Bangledesh,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1980_From_20020707_to_20020709,"China, India, Nepal","['BG', 'IN', 'CH', 'UU', 'NP']",0.0,0.0,1980.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,27.57515,83.355221,Heavy rain,NA,Nepal,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1999_From_20020721_to_20020815,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",380.0,250000.0,1999.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,27.696051,85.306497,Monsoonal rain,NA,Nepal,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2041_From_20020817_to_20020904,"China, India, Myanmar (Burma)","['BM', 'IN', 'CH']",0.0,5000.0,2041.0,"['BURMA', 'INDIA', 'CHINA']",NA,22.418744,95.753361,Monsoonal rain,NA,Burma,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2049_From_20020903_to_20020906,India,['IN'],22.0,5000.0,2049.0,['INDIA'],NA,21.539107,73.220062,Monsoonal rain,NA,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2160_From_20030216_to_20030222,"India, Pakistan, Afghanistan, Iran","['IN', 'AF', 'PK', 'IR']",20.0,3000.0,2160.0,"['INDIA', 'AFGHANISTAN', 'PAKISTAN', 'IRAN']",NA,27.524729,68.067654,Heavy rain,Afghanistan,Pakistan,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
