system:index,date,surface_pressure_hPa,surface_pressure_max_hPa,surface_pressure_min_hPa,.geo
20000101,2000-01-01,832.3612563492217,834.2699052449159,830.5498719563593,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,831.7938976573723,833.8804820262444,830.0923869755326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,830.497849447563,832.1989774813911,828.9464460754474,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,830.6661704957143,832.0368300465377,829.1353623947076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,830.9269534382394,832.6018494729899,829.3268933690885,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,829.9776412624766,831.8929390833773,828.2766445627329,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,829.6058319218754,831.1593859926232,827.9860364930117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,828.5215692791157,830.8069240339375,826.4823552156336,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,827.4879374834117,829.4338952768451,825.8801700462536,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,827.7801168802606,829.5278433353628,826.1297163506079,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,828.434591101727,830.3060856487754,826.6891258206971,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,827.6593732504043,829.6091067227896,825.7100074664407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,826.5141660264724,828.8151257905869,824.7710968023302,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,826.2217141539033,827.8850939266713,824.4460910651691,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,827.8589669206278,829.4804367944125,825.933712757035,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,830.1788475019486,832.090057554028,828.1951273290733,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,832.0817338939166,834.2181877495091,829.8793298923715,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,832.3086643441211,834.5862939708445,829.8788743721983,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,828.5453590381712,831.8929769289394,825.7174736564747,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000120,2000-01-20,826.5836993336227,828.6013354336098,824.4666241657637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000121,2000-01-21,828.5764638398243,830.2650501562115,826.8320174891973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000122,2000-01-22,828.7114553093556,830.4605636548027,826.9887073352928,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000123,2000-01-23,829.4704075391162,831.0801573018841,827.82639129896,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000124,2000-01-24,830.8911196606257,832.4826551865043,829.1523726090746,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000125,2000-01-25,832.0120067549384,833.6561035923371,830.3054143678943,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000126,2000-01-26,831.8524548688165,833.8992636085356,830.0216555010489,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000127,2000-01-27,831.1684997982885,832.908225271455,829.5310421331353,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000128,2000-01-28,831.2178712518989,833.07894319424,829.429997212609,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000129,2000-01-29,831.7611684231939,833.462791701875,829.9070577686235,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000130,2000-01-30,831.7593142433394,833.9282809690434,829.4208984867136,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000131,2000-01-31,829.4863880470804,832.1028516795336,827.0893723741322,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000201,2000-02-01,827.230149019819,829.4411202282138,825.2930942050717,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000202,2000-02-02,828.415201497662,830.2834355065492,826.2198081314264,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000203,2000-02-03,829.9649473460166,832.0120465389587,827.9994397745685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000204,2000-02-04,828.2886992831292,830.6478224477341,826.2093933678331,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000205,2000-02-05,827.4370492523157,829.5658989520053,825.5621608881398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000206,2000-02-06,828.4199334507202,830.0887618132323,826.5839811575815,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000207,2000-02-07,828.162637049553,830.1561796145212,826.4199193441196,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000208,2000-02-08,827.411445517662,829.1726148909471,825.637618480242,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000209,2000-02-09,827.4441996477783,829.2470268669383,825.5708585976724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000210,2000-02-10,827.069965554216,828.9980668671354,825.2775093660426,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000211,2000-02-11,826.7909585249098,828.5644551568331,824.9661880492498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000212,2000-02-12,828.3193487624222,830.1259023063898,826.1750688574595,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000213,2000-02-13,829.2146509496243,830.6510658730299,827.474107865879,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000214,2000-02-14,830.1060766264742,831.8131919749671,828.3967563664637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000215,2000-02-15,829.6254625979615,831.9367398424014,827.4062249591082,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000216,2000-02-16,827.4839142277488,829.9415265175472,825.39030541791,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000217,2000-02-17,825.3935502522082,827.4716985336546,823.5498717192902,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000218,2000-02-18,825.898439288296,827.6121531287633,824.2082587728257,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000219,2000-02-19,825.8310387200797,827.636831261013,824.140992763179,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000220,2000-02-20,825.460644609152,827.1544859844785,823.5416893861868,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000221,2000-02-21,826.9714228445735,828.8433616171094,824.6535864878222,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000222,2000-02-22,828.1792535426614,830.2348964162503,826.5125241686742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000223,2000-02-23,828.99509394857,830.7253010186267,827.1630657674365,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000224,2000-02-24,829.4638341553252,831.2849619897019,827.6966435873851,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000225,2000-02-25,827.7810286337398,830.3478626077405,825.5956680558163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000226,2000-02-26,826.4774748389272,828.2432157369926,824.6754590848644,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000227,2000-02-27,827.5807007554405,829.1789478856248,825.5474593440805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000228,2000-02-28,829.1837103266154,831.122045063955,827.172432705693,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000229,2000-02-29,827.9275065906081,830.5073758107148,825.541724164858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000301,2000-03-01,826.0168232149377,828.1771817871426,823.9234866457214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000302,2000-03-02,825.9818867907968,827.9248619830666,824.0498953174908,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000303,2000-03-03,826.2135858505493,828.4329007084995,823.9580492869467,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000304,2000-03-04,826.5071825942563,828.6662899071279,824.4895412426738,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000305,2000-03-05,826.8652151974231,829.2069112174977,824.6285436534982,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000306,2000-03-06,827.0325746675508,828.6510689941459,825.1307051481014,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000307,2000-03-07,827.6273083824804,829.69545687545,825.5088992786027,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000308,2000-03-08,826.9225324350723,829.4701678963951,824.9582730127515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000309,2000-03-09,826.0199379903077,827.9711495776073,824.142337821182,"{""type"":""MultiPoint"",""coordinates"":[]}"
