system:index,date,total_evaporation_m,.geo
20000101,2000-01-01,-7.355375277332416E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,-7.314048174679038E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,-7.106776790537431E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,-7.282475986579589E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,-7.087498199677587E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,-6.83118201686826E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,-6.762863292582348E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,-6.781561480020218E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,-6.921715235876478E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,-6.935679917341626E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,-7.259140293188136E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,-7.833074473721375E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,-7.909865584882841E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,-7.830910712825152E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,-7.738309856277324E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,-7.719401036196649E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,-7.8618710402833E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,-8.138545105320345E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,-8.06310018451009E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000120,2000-01-20,-7.849870899281804E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000121,2000-01-21,-7.751859518276116E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000122,2000-01-22,-7.579601578337242E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000123,2000-01-23,-7.729262840842028E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000124,2000-01-24,-7.72559723998798E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000125,2000-01-25,-8.072789414996646E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000126,2000-01-26,-8.125629265140223E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000127,2000-01-27,-7.977168868250064E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000128,2000-01-28,-7.720317446052826E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000129,2000-01-29,-7.798784052773125E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000130,2000-01-30,-8.074566508543828E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000131,2000-01-31,-7.892525570652452E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000201,2000-02-01,-7.570554012409898E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000202,2000-02-02,-7.086857257459735E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000203,2000-02-03,-7.45074038479939E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000204,2000-02-04,-7.684121102090227E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000205,2000-02-05,-8.002009261318226E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000206,2000-02-06,-7.900347338616477E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000207,2000-02-07,-8.427789638947517E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000208,2000-02-08,-8.726031011863861E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000209,2000-02-09,-8.742680141814653E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000210,2000-02-10,-9.211857889749148E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000211,2000-02-11,-8.955878340045589E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000212,2000-02-12,-8.805771696495585E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000213,2000-02-13,-9.556764984240373E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000214,2000-02-14,-9.205416152140276E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000215,2000-02-15,-9.761998908350083E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000216,2000-02-16,-9.862830819596885E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000217,2000-02-17,-9.690070824945971E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000218,2000-02-18,-9.55137824471371E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000219,2000-02-19,-9.513268027491748E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000220,2000-02-20,-9.163196855276051E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000221,2000-02-21,-8.960196944882581E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000222,2000-02-22,-9.415310348712409E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000223,2000-02-23,-9.486721665067102E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000224,2000-02-24,-9.324398009691961E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000225,2000-02-25,-9.186627053736265E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000226,2000-02-26,-9.759838186612533E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000227,2000-02-27,-0.0010724511176108604,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000228,2000-02-28,-0.0010952272193802545,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000229,2000-02-29,-0.00112440471635184,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000301,2000-03-01,-0.0011153068786056372,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000302,2000-03-02,-0.0011138244240156466,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000303,2000-03-03,-0.0011258155617935462,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000304,2000-03-04,-0.0010911882755001421,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000305,2000-03-05,-0.0010765224292698882,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000306,2000-03-06,-0.001061242899930988,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000307,2000-03-07,-0.0010462891313182893,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000308,2000-03-08,-0.001000805720853637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000309,2000-03-09,-0.00101141541948764,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000310,2000-03-10,-0.0010305905896189965,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000311,2000-03-11,-0.0010211390910350488,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000312,2000-03-12,-9.844405545634154E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000313,2000-03-13,-9.411572471521096E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000314,2000-03-14,-9.526736629872249E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000315,2000-03-15,-9.89578418538785E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000316,2000-03-16,-0.0010238188454573854,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000317,2000-03-17,-0.0010335235503371016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000318,2000-03-18,-0.001016511940141498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000319,2000-03-19,-0.001013945741755247,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000320,2000-03-20,-0.001007320699227435,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000321,2000-03-21,-0.0010081628905900175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000322,2000-03-22,-0.001046814481238476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000323,2000-03-23,-0.0010474650217714484,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000324,2000-03-24,-0.001074452578619725,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000325,2000-03-25,-0.0010883245988392498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000326,2000-03-26,-0.001068580278212517,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000327,2000-03-27,-0.0010406778060724356,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000328,2000-03-28,-0.0010707424030432758,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000329,2000-03-29,-0.0010473089552885866,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000330,2000-03-30,-0.001117187771007994,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000331,2000-03-31,-0.0011452347462380225,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000401,2000-04-01,-0.0011202146748059841,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000402,2000-04-02,-0.0011167719390952923,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000403,2000-04-03,-0.0011043958475086461,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000404,2000-04-04,-0.0011091618117957077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000405,2000-04-05,-0.0010919018630015196,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000406,2000-04-06,-0.0010736291046685984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000407,2000-04-07,-0.001042041277485549,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000408,2000-04-08,-0.0010803462377575632,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000409,2000-04-09,-0.0010687296004948115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000410,2000-04-10,-0.0010939004901854156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000411,2000-04-11,-0.0011088708568108136,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000412,2000-04-12,-0.0011437574407489298,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000413,2000-04-13,-0.0011361100550249937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000414,2000-04-14,-0.0011535035904022657,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000415,2000-04-15,-0.001198924389252668,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000416,2000-04-16,-0.0012382339648725595,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000417,2000-04-17,-0.001228397529626324,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000418,2000-04-18,-0.0012439027920319596,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000419,2000-04-19,-0.0012677338349983522,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000420,2000-04-20,-0.0012440228291637325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000421,2000-04-21,-0.0012352084998750606,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000422,2000-04-22,-0.0012237581978519077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000423,2000-04-23,-0.0013187030448104566,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000424,2000-04-24,-0.0012885278740165217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000425,2000-04-25,-0.0013324475448309597,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000426,2000-04-26,-0.001247241859484177,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000427,2000-04-27,-0.0012672631160802008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000428,2000-04-28,-0.0012548934506272408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000429,2000-04-29,-0.0012796844997007095,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000430,2000-04-30,-0.0013014694962402722,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000501,2000-05-01,-0.0012949058114745356,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000502,2000-05-02,-0.0012703305388038339,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000503,2000-05-03,-0.0012866749246321103,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000504,2000-05-04,-0.0013966543298457516,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000505,2000-05-05,-0.001494221318795302,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000506,2000-05-06,-0.0015934843637112762,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000507,2000-05-07,-0.001707046323718859,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000508,2000-05-08,-0.0017882435751748456,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000509,2000-05-09,-0.0018405634216130443,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000510,2000-05-10,-0.001821587635065839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000511,2000-05-11,-0.0018224860944512646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000512,2000-05-12,-0.0018733487221532417,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000513,2000-05-13,-0.0019055074757959405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000514,2000-05-14,-0.001834294404459531,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000515,2000-05-15,-0.001780426469988507,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000516,2000-05-16,-0.001778510029670575,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000517,2000-05-17,-0.0018157445761247133,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000518,2000-05-18,-0.001813559685870854,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000519,2000-05-19,-0.0017762501713039051,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000520,2000-05-20,-0.0017522908011744249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000521,2000-05-21,-0.0018184627073203783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000522,2000-05-22,-0.0017135682949669156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000523,2000-05-23,-0.0017215279039842172,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000524,2000-05-24,-0.001847199609581551,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000525,2000-05-25,-0.0018765057225929725,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000526,2000-05-26,-0.001814389424616629,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000527,2000-05-27,-0.0019275749339335273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000528,2000-05-28,-0.001943424585570853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000529,2000-05-29,-0.001946043800107502,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000530,2000-05-30,-0.001976976635510437,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000531,2000-05-31,-0.0019809913231648266,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000601,2000-06-01,-0.002054011749728048,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000602,2000-06-02,-0.0020944651999305866,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000603,2000-06-03,-0.002228253894446387,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000604,2000-06-04,-0.0022366505390384386,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000605,2000-06-05,-0.00222363893202615,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000606,2000-06-06,-0.002114684353186406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000607,2000-06-07,-0.002068517335872777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000608,2000-06-08,-0.002018172480310505,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000609,2000-06-09,-0.0022197496249882027,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000610,2000-06-10,-0.0023468546455819475,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000611,2000-06-11,-0.00245384726978067,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000612,2000-06-12,-0.0023869482328241643,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000613,2000-06-13,-0.0024437917779989876,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000614,2000-06-14,-0.0024253847760417526,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000615,2000-06-15,-0.0024167858302066116,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000616,2000-06-16,-0.0023554581211157263,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000617,2000-06-17,-0.002330388375665523,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000618,2000-06-18,-0.0022036474966400316,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000619,2000-06-19,-0.0020788904267825346,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000620,2000-06-20,-0.0021097716881455396,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000621,2000-06-21,-0.002116786014855557,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000622,2000-06-22,-0.002131227137160636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000623,2000-06-23,-0.0023875327951752806,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000624,2000-06-24,-0.0025011816459533254,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000625,2000-06-25,-0.0025237209298247,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000626,2000-06-26,-0.002503646802999194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000627,2000-06-27,-0.002431003519174628,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000628,2000-06-28,-0.0023492991844117615,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000629,2000-06-29,-0.0023246588629457143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000630,2000-06-30,-0.002382618028582841,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000701,2000-07-01,-0.0025364899087959736,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000702,2000-07-02,-0.002644915022730235,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000703,2000-07-03,-0.0028048231764288447,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000704,2000-07-04,-0.0029510677618441155,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000705,2000-07-05,-0.0029667261597586527,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000706,2000-07-06,-0.0027648129077454766,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000707,2000-07-07,-0.002565513821917287,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000708,2000-07-08,-0.002475749869866416,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000709,2000-07-09,-0.0023696084560923,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000710,2000-07-10,-0.002282750432009443,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000711,2000-07-11,-0.002343116004009287,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000712,2000-07-12,-0.002482344723786569,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000713,2000-07-13,-0.0025582903218828524,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000714,2000-07-14,-0.0026128286743356184,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000715,2000-07-15,-0.002631546590773647,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000716,2000-07-16,-0.0026778325883289283,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000717,2000-07-17,-0.0026876779613207833,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000718,2000-07-18,-0.002756855144484246,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000719,2000-07-19,-0.0026802384540492758,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000720,2000-07-20,-0.0027230346980454487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000721,2000-07-21,-0.0027373281547638188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000722,2000-07-22,-0.0027040857088696333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000723,2000-07-23,-0.0028105623881586844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000724,2000-07-24,-0.0028778302064898305,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000725,2000-07-25,-0.002851138015533487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000726,2000-07-26,-0.0027434026263186487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000727,2000-07-27,-0.0028493292658902446,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000728,2000-07-28,-0.0027994681550856794,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000729,2000-07-29,-0.002837266124021918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000730,2000-07-30,-0.0027828085960001103,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000731,2000-07-31,-0.0026458275897006983,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000801,2000-08-01,-0.0025481643129124858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000802,2000-08-02,-0.002722941099374812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000803,2000-08-03,-0.0028842904215873747,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000804,2000-08-04,-0.003022444257875931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000805,2000-08-05,-0.0031071292276505444,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000806,2000-08-06,-0.003042910894622858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000807,2000-08-07,-0.0028907072771573276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000808,2000-08-08,-0.0027882476475222973,"{""type"":""MultiPoint"",""coordinates"":[]}"
