event_id,start_date,end_date,latitude,longitude,severity,deaths,displaced_people,main_cause,primary_country,validation_type
1641.0,2000-09-18,2000-10-21,24.084064,88.5453,2.0,1468.0,24000000.0,Monsoonal rain,India,News
1747.0,2001-07-08,2001-08-10,21.055916,84.798732,2.0,100.0,2000000.0,Monsoonal rain,India,News
1789.0,2001-08-20,2001-09-11,26.755588,83.051328,1.0,65.0,300000.0,Heavy rain,India,News
1791.0,2001-09-07,2001-09-24,26.532079,84.869961,1.0,146.0,30000.0,Heavy rain,India,News
1974.0,2002-06-21,2002-08-28,25.841781,89.269578,1.0,503.0,15000000.0,Monsoonal rain,India,News
1980.0,2002-07-07,2002-07-09,27.57515,83.355221,1.0,0.0,0.0,Heavy rain,Nepal,News
1999.0,2002-07-21,2002-08-15,27.696051,85.306497,1.0,380.0,250000.0,Monsoonal rain,Nepal,News
2041.0,2002-08-17,2002-09-04,22.418744,95.753361,2.0,0.0,5000.0,Monsoonal rain,Burma,News
2049.0,2002-09-03,2002-09-06,21.539107,73.220062,1.0,22.0,5000.0,Monsoonal rain,India,News
2160.0,2003-02-16,2003-02-22,27.524729,68.067654,1.0,20.0,3000.0,Heavy rain,Pakistan,News
2248.0,2003-06-11,2003-10-10,26.170616,90.853814,2.0,600.0,9500000.0,Monsoonal rain,Bangladesh,News
2257.0,2003-06-19,2003-07-03,21.923872,91.932656,1.0,55.0,20000.0,Monsoonal rain,Bangladesh,News
2276.0,2003-07-02,2003-09-01,20.574716,95.503476,1.0,0.0,0.0,Monsoonal rain,Burma,News
2279.0,2003-07-15,2003-09-01,28.731898,72.2101,1.0,285.0,900000.0,Monsoonal rain,Pakistan,News
2338.0,2003-08-27,2003-10-20,20.625759,85.893641,1.0,67.0,3000000.0,Monsoonal rain,India,News
2473.0,2004-04-14,2004-05-03,24.894242,91.694661,1.0,12.0,50000.0,Heavy rain,Bangladesh,News
2507.0,2004-06-20,2004-10-07,25.498908,85.891802,2.0,3000.0,40000000.0,Monsoonal rain,India,News
2519.0,2004-07-05,2004-08-11,27.086351,86.252493,1.0,185.0,100000.0,Monsoonal rain,Nepal,News
2570.0,2004-10-07,2004-10-18,24.686228,89.400194,1.0,210.0,100000.0,Heavy rain,India,News
2657.0,2005-05-25,2005-05-28,24.598004,91.64239,1.0,13.0,50000.0,Heavy rain,Bangladesh,News
2676.0,2005-06-23,2005-06-30,25.961407,89.11453,1.0,5.0,70000.0,Monsoonal rain,Bangladesh,News
2680.0,2005-06-28,2005-07-15,21.43303,73.07388,2.0,202.0,500000.0,Monsoonal rain,India,News
2686.0,2005-07-02,2005-07-15,24.128785,80.199902,1.0,62.0,49000.0,Monsoonal rain,India,News
2689.0,2005-07-05,2005-08-14,30.922991,73.563738,1.0,40.0,452000.0,Monsoonal rain,Pakistan,News
2690.0,2005-07-07,2005-07-27,27.436259,87.012599,1.0,40.0,3000000.0,Monsoonal rain,India,News
2698.0,2005-07-23,2005-08-16,16.977232,79.965416,1.0,126.0,100000.0,Monsoonal rain,India,News
2718.0,2005-08-26,2005-08-30,25.885963,83.211491,1.0,21.0,0.0,Heavy rain,India,News
2728.0,2005-09-14,2005-09-30,21.113878,82.538893,1.0,89.0,550000.0,Heavy rain,India,News
2731.0,2005-09-16,2005-10-05,28.197268,79.373434,1.0,23.0,0.0,Monsoonal rain,India,News
2734.0,2005-09-22,2005-10-11,21.713895,73.473279,1.0,15.0,0.0,Heavy rain,India,News
