Metric Name,Value,Model,Target,Dataset Split,Source File
F1-Score,0.3900928792569659,LogisticRegression,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
ROC-AUC,0.6865612543885121,LogisticRegression,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
PR-AUC,0.3624746686902335,LogisticRegression,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Accuracy,0.6405109489051095,LogisticRegression,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Precision,0.2923433874709977,LogisticRegression,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Recall,0.586046511627907,LogisticRegression,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
F1-Score,0.4685534591194968,RandomForest,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
ROC-AUC,0.7184119525908719,RandomForest,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
PR-AUC,0.346809604812431,RandomForest,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Accuracy,0.6916058394160584,RandomForest,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Precision,0.3539192399049881,RandomForest,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Recall,0.6930232558139535,RandomForest,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
F1-Score,0.4419354838709677,XGBoost,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
ROC-AUC,0.7083942665575588,XGBoost,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
PR-AUC,0.3788674264029509,XGBoost,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Accuracy,0.6843065693430657,XGBoost,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Precision,0.3382716049382716,XGBoost,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Recall,0.6372093023255814,XGBoost,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
F1-Score,0.4165341812400636,LightGBM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
ROC-AUC,0.7105297890874533,LightGBM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
PR-AUC,0.359718310426857,LightGBM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Accuracy,0.6651459854014599,LightGBM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Precision,0.3164251207729469,LightGBM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Recall,0.6093023255813953,LightGBM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
F1-Score,0.4141104294478527,LSTM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
ROC-AUC,0.7080695826624079,LSTM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
PR-AUC,0.3475885619735889,LSTM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Accuracy,0.6514598540145985,LSTM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Precision,0.3089244851258581,LSTM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Recall,0.627906976744186,LSTM,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
F1-Score,0.4259259259259259,GRU,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
ROC-AUC,0.6779980466172162,GRU,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
PR-AUC,0.3012104568101557,GRU,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Accuracy,0.6605839416058394,GRU,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Precision,0.3187066974595843,GRU,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
Recall,0.641860465116279,GRU,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
F1-Score,0.4320785597381342,StackingEnsemble,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
ROC-AUC,0.7284322783306497,StackingEnsemble,flood_target,Test 2016-2018,06_Results_corrected/MODEL_RESULTS.csv
