Model,Target,F1,ROC_AUC,Brier
LogisticRegression,flood_target,0.39009287925696595,0.6865612543885121,0.26010887291886736
RandomForest,flood_target,0.46855345911949686,0.7184119525908719,0.2391469554920396
XGBoost,flood_target,0.44193548387096776,0.7083942665575588,0.21357743442058563
LightGBM,flood_target,0.4165341812400636,0.7105297890874533,0.24402882156958997
LogisticRegression,heatwave_target,0.8660714285714286,0.9964294191098314,0.02118128278314587
RandomForest,heatwave_target,0.848780487804878,0.9945615718811596,0.018905084179273994
XGBoost,heatwave_target,0.8811881188118812,0.9954438975057532,0.017552997916936874
LightGBM,heatwave_target,0.8877551020408163,0.9969144402134092,0.014909562028896926
LogisticRegression,compound_target,0.40384615384615385,0.9394016280790781,0.0885341527523184
RandomForest,compound_target,0.3888888888888889,0.9511576276562004,0.08034182114858474
XGBoost,compound_target,0.3783783783783784,0.9386933079606725,0.09925927966833115
LightGBM,compound_target,0.34782608695652173,0.9402896712126019,0.04168935114013649
LSTM,flood_target,0.43788819875776397,0.7140956519406669,0.22850650548934937
GRU,flood_target,0.4,0.5813041495668034,0.2608112096786499
LSTM,heatwave_target,0.6153846153846154,0.9709246951698153,0.08573724329471588
GRU,heatwave_target,0.6526315789473685,0.9826992516615207,0.0693080946803093
LSTM,compound_target,0.30303030303030304,0.9345762348655309,0.09427858889102936
GRU,compound_target,0.3162393162393162,0.9335476267009536,0.10059113055467606
