Model,Target,F1,ROC_AUC,Brier
LogisticRegression,flood_target,0.39009287925696595,0.6866562838212391,0.2600131536448577
RandomForest,flood_target,0.47095761381475665,0.7202386294644035,0.23881526727802066
XGBoost,flood_target,0.449438202247191,0.709605891824829,0.21362808346748352
LightGBM,flood_target,0.4185303514376997,0.7145896576300714,0.2401188892115966
LogisticRegression,heatwave_target,0.8738738738738738,0.9977916060390287,0.0167511417064032
RandomForest,heatwave_target,0.9895833333333334,0.9998761648246185,0.0036732959425573165
XGBoost,heatwave_target,0.9897959183673469,1.0,0.0018745673587545753
LightGBM,heatwave_target,1.0,1.0,1.690019652787984e-05
LogisticRegression,compound_target,0.40384615384615385,0.9394650597314728,0.08837567694723666
RandomForest,compound_target,0.3888888888888889,0.9511576276562004,0.08034182114858474
XGBoost,compound_target,0.3783783783783784,0.9395602072100645,0.09942656010389328
LightGBM,compound_target,0.4117647058823529,0.9499524262607042,0.03939347039125998
LSTM,flood_target,0.3901639344262295,0.6431318902389958,0.25152796506881714
GRU,flood_target,0.40062597809076683,0.6171508274992623,0.2593929171562195
LSTM,heatwave_target,0.6784452296819788,0.9860065937516354,0.06085478514432907
GRU,heatwave_target,0.6618705035971223,0.9835156209116123,0.06239825859665871
LSTM,compound_target,0.37962962962962965,0.9466409514625522,0.08973103016614914
GRU,compound_target,0.3418803418803419,0.9462766527375978,0.10319367051124573
