Target,Model,Accuracy,Precision,Recall,F1-Score,Balanced Accuracy,Specificity,Sensitivity,ROC-AUC,PR-AUC,MCC,Brier Score
flood_target,LogisticRegression,0.6405109489051095,0.2923433874709977,0.586046511627907,0.39009287925696595,0.6199245043951113,0.6538024971623155,0.586046511627907,0.6865612543885121,0.3642076396612727,0.19498250897333239,0.2601093227103816
flood_target,RandomForest,0.6916058394160584,0.35391923990498814,0.6930232558139535,0.46855345911949686,0.6921415938547634,0.6912599318955732,0.6930232558139535,0.7184119525908719,0.3500363758062634,0.31373692414317983,0.2391469554920396
flood_target,XGBoost,0.6843065693430657,0.33827160493827163,0.6372093023255814,0.44193548387096776,0.6665047646701687,0.695800227014756,0.6372093023255814,0.7083942665575588,0.3612929644644475,0.2739664045675716,0.21357743442058563
flood_target,LightGBM,0.6651459854014599,0.3164251207729469,0.6093023255813953,0.4165341812400636,0.644038222949608,0.6787741203178207,0.6093023255813953,0.7105297890874533,0.36228432833949653,0.23595140982644502,0.24402882131151177
heatwave_target,LogisticRegression,0.9698905109489051,0.7461538461538462,1.0,0.8546255506607929,0.9834834834834835,0.9669669669669669,1.0,0.9963571819241922,0.9613868210432125,0.84941516439614,0.021684546819291044
heatwave_target,RandomForest,0.968978102189781,0.7837837837837838,0.8969072164948454,0.8365384615384616,0.9364415962354107,0.975975975975976,0.8969072164948454,0.9948402010257681,0.9537870325433805,0.8217602649780853,0.018938687709630087
heatwave_target,XGBoost,0.9781021897810219,0.8543689320388349,0.9072164948453608,0.88,0.9461007399151729,0.984984984984985,0.9072164948453608,0.995418098510882,0.9564646581933016,0.8684369909440317,0.018199283629655838
heatwave_target,LightGBM,0.9790145985401459,0.8557692307692307,0.9175257731958762,0.8855721393034826,0.9512553790904306,0.984984984984985,0.9175257731958762,0.9966151718729039,0.9677364014196869,0.8746785836656893,0.015939414156423252
compound_target,LogisticRegression,0.8832116788321168,0.25443786982248523,0.9555555555555556,0.40186915887850466,0.9178348662649329,0.8801141769743102,0.9555555555555556,0.9396553546886564,0.249349264620135,0.4591547358198387,0.08916203508928244
compound_target,RandomForest,0.8813868613138686,0.2543352601156069,0.9777777777777777,0.4036697247706422,0.9275187651971667,0.8772597526165556,0.9777777777777777,0.9559467174119887,0.490689445793339,0.4653383982073696,0.07750402693217466
compound_target,XGBoost,0.8759124087591241,0.24,0.9333333333333333,0.38181818181818183,0.9033935934031081,0.873453853472883,0.9333333333333333,0.9465165450893329,0.38376986107712197,0.4370365585863081,0.09935250878334045
compound_target,LightGBM,0.9516423357664233,0.43103448275862066,0.5555555555555556,0.4854368932038835,0.762078443810128,0.9686013320647003,0.5555555555555556,0.9485569299080242,0.42278615162337346,0.46457543084329017,0.039347692769300176
compound_target,Stacking Ensemble,0.9124087591240876,0.296,0.8222222222222222,0.43529411764705883,0.8692462205307114,0.9162702188392008,0.8222222222222222,0.9552595411777143,0.4076886181666672,0.4609873922463735,0.14645683083121064
flood_target,LSTM,0.6460258780036968,0.3037383177570093,0.6046511627906976,0.40435458786936235,0.6304686033099971,0.6562860438292965,0.6046511627906976,0.6462380300957593,0.23973598267799817,0.21293842079216288,0.23204562067985535
flood_target,GRU,0.6377079482439926,0.3002257336343115,0.6186046511627907,0.40425531914893614,0.6305249322711302,0.6424452133794695,0.6186046511627907,0.5867761057911537,0.2207731264933332,0.21183609337908357,0.2624789774417877
heatwave_target,LSTM,0.9306839186691312,0.5705128205128205,0.9175257731958762,0.7035573122529645,0.9247527343136741,0.9319796954314721,0.9175257731958762,0.9835993510911089,0.8286957441857764,0.6908795993730913,0.04947151616215706
heatwave_target,GRU,0.910351201478743,0.5,0.9381443298969072,0.6523297491039427,0.9228792715474383,0.9076142131979695,0.9381443298969072,0.9747658171542205,0.7451860938654605,0.6459418559438143,0.06636219471693039
compound_target,LSTM,0.9038817005545287,0.2748091603053435,0.8,0.4090909090909091,0.8541947926711668,0.9083895853423336,0.8,0.9443265830922534,0.27399450627090166,0.43355270121639644,0.07612740993499756
compound_target,GRU,0.8484288354898336,0.2097560975609756,0.9555555555555556,0.344,0.8996678452801886,0.8437801350048216,0.9555555555555556,0.9502839387120969,0.3315821657657448,0.40723782815900655,0.10556807368993759
